intergenic	intron	exon
56.32285239	40.01371339	3.663434225
55.98001763	40.5132726	3.506709766
56.76072898	39.75112679	3.488144229
55.94200059	40.75634369	3.301655726
56.23898139	40.48971596	3.271302644
56.60395846	40.02547521	3.370566334
56.51151396	40.20578148	3.282704557
56.31305711	40.19002841	3.496914487
56.1207488	40.31167304	3.567578163
56.86716301	40.07641066	3.056426332
55.28893242	41.13614104	3.574926543
55.60344828	41.0854232	3.311128527
56.70486825	39.66108336	3.634048389
55.7112069	40.69357367	3.595219436
56.09875576	40.33506417	3.566180072
55.94515181	40.43095005	3.623898139
55.95611285	40.80133229	3.242554859
55.1670095	41.2479185	3.585071995
56.66438155	39.73166193	3.603956517
56.51577503	40.13325495	3.350970018
56.51705214	40.27832223	3.204625637
55.45757398	41.10327258	3.439153439
56.75649192	40.02939735	3.21411073
55.52943481	40.90508375	3.565481438
56.40246889	40.11952582	3.47800529
57.50538899	39.06525573	3.429355281
57.18765311	39.17687408	3.635472807
56.11285266	40.57601881	3.311128527
55.98118938	40.7073577	3.311452924
57.08268025	39.71394984	3.203369906
57.16944172	39.51028404	3.320274241
56.88118327	39.62190224	3.496914487
56.50896268	40.22920952	3.261827799
56.58732491	39.97453228	3.438142815
56.16183386	40.52703762	3.311128527
56.60266458	40.01763323	3.379702194
56.67123824	39.80211599	3.526645768
56.60266458	39.89028213	3.507053292
55.85815047	40.58581505	3.556034483
55.66222571	40.87970219	3.4580721
55.75472622	40.84631208	3.3989617
55.66656871	40.72876873	3.604662553
56.30573248	40.24497795	3.449289564
56.37182878	40.17043785	3.457733373
56.11405056	40.47619048	3.409758965
56.54388715	40.04702194	3.409090909
56.84066203	39.48682793	3.672510038
55.44234349	41.1580288	3.399627706
56.02781314	40.1821565	3.790030359
56.15083252	40.43095005	3.418217434
56.50597688	40.09406232	3.399960807
55.98981291	40.57204427	3.438142815
56.47531348	40.31152038	3.213166144
56.37182878	40.31736703	3.310804192
56.32352941	40.28431373	3.392156863
55.76998433	40.82092476	3.409090909
56.32409131	40.37425296	3.301655726
56.18693054	40.12932301	3.683746449
56.24449016	40.19002841	3.565481438
55.71666503	40.91309885	3.370236112
56.53281097	39.94123408	3.525954946
56.11835015	40.22729499	3.654354855
56.42885143	39.94511956	3.626029008
55.98667451	40.67215364	3.34117186
56.58010779	39.82361587	3.596276335
56.44165769	40.02155384	3.536788478
56.20530904	40.48388677	3.310804192
55.29434812	41.14996572	3.555686159
55.93768372	40.68195179	3.380364491
56.32409131	40.2077006	3.468208092
55.97687635	40.7505389	3.272584754
56.42633229	39.98824451	3.585423197
56.67809897	40.1077903	3.21411073
56.53962967	40.29587538	3.164494954
56.36755486	40.23315047	3.399294671
55.70141066	40.76214734	3.536442006
56.54814379	40.02350867	3.428347536
56.54091132	40.02939735	3.429691328
56.46125208	40.2174978	3.321250122
56.8502548	39.86671893	3.283026264
56.16062684	40.3036239	3.535749265
57.29819749	39.32210031	3.379702194
56.09326019	40.419279	3.487460815
56.47785182	40.10192082	3.420227362
56.14653737	40.60143011	3.25203252
55.95925962	40.39761042	3.643129958
56.91192319	39.76682669	3.321250122
56.45698609	39.81971389	3.72330002
56.10735625	40.63081595	3.261827799
55.90396864	40.71533562	3.380695737
56.26653601	39.91180794	3.821656051
56.01371205	40.67580803	3.310479922
56.6993144	39.93143976	3.369245837
55.56317336	41.0675808	3.369245837
57.39198589	39.36514157	3.242872538
56.75808031	39.67678746	3.565132223
57.18342963	39.74145529	3.075115072
56.18693054	40.26648379	3.546585676
56.23898139	40.46033301	3.300685602
55.98001763	40.43491037	3.585071995
55.1234326	41.26175549	3.614811912
55.82329317	40.6504065	3.526300323
55.86794671	40.830721	3.301332288
56.23898139	40.56807052	3.19294809
56.05837986	40.68958762	3.25203252
56.24877571	40.14691479	3.6043095
56.28367127	40.32716231	3.389166422
56.31001372	40.32921811	3.360768176
55.80483982	40.76614088	3.4290193
55.97022235	40.31736703	3.712410618
56.62355477	39.84910837	3.527336861
56.7887931	39.64537618	3.565830721
56.63500147	39.79042209	3.574576437
56.18814307	40.30377266	3.508084272
56.0411563	40.35276825	3.606075453
56.76920063	39.80211599	3.428683386
56.97492163	39.74333856	3.281739812
56.61800725	39.80601548	3.575977271
56.05837986	40.57204427	3.369575864
55.57841121	41.05201293	3.369575864
56.46125208	40.03135103	3.507396884
55.68181818	40.56622257	3.751959248
55.2507837	41.30094044	3.448275862
56.33692458	40.3036239	3.359451518
56.69083072	39.80211599	3.507053292
56.45998629	40.17043785	3.369575864
56.3620335	40.0528945	3.585071995
55.53051827	41.10904281	3.360438914
56.06268364	40.5093046	3.428011753
56.72021944	39.81191223	3.467868339
57.08545668	39.62171697	3.292826343
56.18693054	40.2077006	3.605368865
55.4031547	41.37356716	3.223278142
56.2248996	40.30757175	3.467528651
55.22578117	41.2968949	3.47732393
57.02527925	39.74132863	3.233392122
56.34796238	40.12539185	3.526645768
55.89186012	40.57204427	3.536095602
56.13244514	40.42907524	3.438479624
56.28367127	40.29777647	3.418552258
55.8374143	40.72477963	3.437806072
56.04546345	40.65255732	3.301979228
57.11626996	39.47497306	3.408756979
55.13222331	41.22428991	3.643486778
56.14344503	40.62316285	3.233392122
56.34796238	40.1645768	3.487460815
56.14224138	40.58581505	3.271943574
56.08895856	40.36445577	3.546585676
56.05288932	40.41136141	3.535749265
55.71008815	41.20470127	3.085210578
56.64609658	39.8276031	3.526300323
55.50764406	41.02312819	3.469227754
56.58010779	39.62763351	3.792258697
56.52855324	39.7786267	3.692820061
56.43060045	40.22920952	3.340190028
56.04858458	40.34675287	3.604662553
55.14741894	41.26750906	3.585071995
56.31305711	40.12146146	3.565481438
56.58603467	39.96670258	3.447262756
56.74272843	39.84918225	3.408089315
56.62780445	40.04114823	3.33104732
56.53834852	39.99412283	3.467528651
56.51875796	40.14105201	3.340190028
55.98550157	40.81112853	3.203369906
55.63607874	41.10273235	3.261188914
56.28367127	40.47409149	3.242237242
55.87226957	40.90508375	3.222646684
56.30877743	40.17437304	3.51684953
56.62060178	40.08624914	3.293149074
56.14894659	40.45075943	3.400293974
