intergenic	intron	exon
56.06098927	40.49571847	3.443292264
56.7907481	39.78315866	3.426093242
55.90946889	40.48953324	3.600997867
56.66437836	39.68276909	3.652852549
56.06345306	40.4964949	3.440052034
56.14884393	40.39378613	3.457369942
56.24841847	40.31739146	3.434190073
56.22561064	40.43936985	3.335019511
56.14973262	40.30206677	3.548200607
56.72882336	39.7911246	3.480052038
56.546565	40.07806006	3.375374941
56.27212949	40.24857287	3.479297637
56.18131868	40.36654135	3.452139965
56.02977847	40.55147989	3.418741643
56.79797615	39.71449223	3.487531623
56.17141205	40.22980199	3.598785952
56.37579042	40.27100271	3.353206865
56.72677339	39.7427095	3.530517111
56.31166203	40.41776589	3.270572079
56.05189924	40.60139506	3.3467057
56.37467476	40.13443192	3.490893322
56.10408385	40.55294543	3.342970726
56.78918645	39.867722	3.343091546
56.31369714	40.24936755	3.436935309
56.50319829	40.26236854	3.234433161
56.68136157	39.9869914	3.331647033
56.06098927	40.37287278	3.566137948
55.65952527	40.77820731	3.562267423
56.1020563	40.42137978	3.476563912
55.79529437	40.63392244	3.570783187
55.95014451	40.4949422	3.554913295
55.92050587	40.77687444	3.302619693
56.56259034	39.8381035	3.599306158
56.23147546	40.42868503	3.339839514
56.35884096	40.14740949	3.493749548
56.48372295	40.20305669	3.313220363
56.40654932	40.21035891	3.38309177
56.3568048	40.28686007	3.356335128
56.52550947	39.91906345	3.555427085
56.21522006	40.2507769	3.534003035
56.25022587	40.24791298	3.501861154
56.43220982	40.31284997	3.254940212
56.1621563	40.44513495	3.392708747
56.38459315	40.17921665	3.436190201
56.16958219	40.37877693	3.451640885
56.3148195	40.1438225	3.541358002
56.37513553	40.10842067	3.516443802
56.70266951	39.8800708	3.41725969
56.56729901	40.1300813	3.302619693
56.28433073	40.2572998	3.458369471
56.50084896	39.95159134	3.547559698
56.40766173	40.13371883	3.458619443
56.41155417	40.18654423	3.401901594
56.02067744	40.68972996	3.289592597
56.24412806	40.3772494	3.378622534
56.24977415	40.32811766	3.422108192
56.22131473	40.24068519	3.538000072
56.30194406	40.0628749	3.635181036
55.85673497	40.74234703	3.400917995
56.27100271	40.26377597	3.465221319
55.92338272	40.65775208	3.418865197
56.18156192	40.41053811	3.407899967
56.30239954	40.19947962	3.498120844
56.20596206	40.32520325	3.468834688
56.55897658	39.89953744	3.541485979
56.42118956	40.2652309	3.313579533
56.17072025	40.41776589	3.411513859
56.61584044	40.0816592	3.302500361
56.32341779	40.22120215	3.455380056
56.07456378	40.64882049	3.276615729
56.22334658	40.26382364	3.51282978
56.32678133	40.18644313	3.486775546
56.37782756	40.2146419	3.407530534
56.0638913	40.65481353	3.281295172
56.44945607	40.08095703	3.469586902
56.44881434	40.20387507	3.347310584
56.01488816	40.60636722	3.378744625
56.2005277	40.38023638	3.419235913
