intergenic	intron	exon
NA	NA	NA
57.89194915	39.19491525	2.913135593
57.86963434	39.79862215	2.331743508
58.71754107	38.42077371	2.861685215
56.77966102	40.625	2.595338983
57.04449153	39.72457627	3.230932203
55.29661017	41.15466102	3.548728814
57.46822034	38.66525424	3.866525424
57.41525424	40.20127119	2.383474576
55.11393747	41.28245893	3.603603604
56.62076271	40.09533898	3.283898305
58.08161102	38.84472708	3.073661897
57.09745763	38.82415254	4.078389831
55.45550847	41.31355932	3.230932203
56.99152542	40.25423729	2.754237288
57.02172761	39.74562798	3.232644409
56.03813559	40.36016949	3.601694915
57.58218452	39.18345705	3.234358431
56.40889831	39.67161017	3.919491525
56.1970339	40.5190678	3.283898305
54.60805085	42.37288136	3.019067797
56.3029661	39.98940678	3.707627119
57.20338983	38.93008475	3.866525424
53.76059322	43.48516949	2.754237288
56.3559322	40.99576271	2.648305085
57.83898305	38.98305085	3.177966102
56.99152542	40.09533898	2.913135593
55.87923729	39.77754237	4.343220339
57.52118644	38.87711864	3.601694915
53.70762712	42.63771186	3.654661017
54.87288136	41.57838983	3.548728814
54.13135593	42.63771186	3.230932203
55.45550847	41.31355932	3.230932203
55.08474576	40.99576271	3.919491525
57.36228814	38.45338983	4.184322034
58.31567797	38.61228814	3.072033898
55.66737288	41.31355932	3.019067797
54.81991525	42.05508475	3.125
56.1440678	40.625	3.230932203
56.67372881	39.93644068	3.389830508
58.73940678	37.3940678	3.866525424
57.52118644	39.40677966	3.072033898
57.36228814	39.40677966	3.230932203
55.85585586	40.69952305	3.444621092
58.84533898	37.6059322	3.548728814
56.72669492	40.04237288	3.230932203
55.77330508	40.94279661	3.283898305
56.72669492	39.30084746	3.972457627
57.94491525	39.03601695	3.019067797
57.41525424	40.30720339	2.277542373
55.87923729	40.30720339	3.813559322
56.93855932	39.61864407	3.44279661
55.72033898	40.7309322	3.548728814
54.60805085	41.52542373	3.866525424
56.1970339	40.04237288	3.76059322
59.2690678	36.91737288	3.813559322
54.77200424	41.99363733	3.234358431
56.40889831	40.09533898	3.495762712
54.71398305	41.84322034	3.44279661
55.77330508	41.47245763	2.754237288
56.99152542	39.56567797	3.44279661
55.21992581	41.81240064	2.967673556
55.77330508	41.04872881	3.177966102
54.92584746	42.00211864	3.072033898
55.24364407	41.52542373	3.230932203
54.44915254	41.89618644	3.654661017
55.69687334	41.44144144	2.861685215
54.34322034	41.68432203	3.972457627
57.46822034	38.13559322	4.396186441
54.92584746	41.41949153	3.654661017
54.97881356	41.52542373	3.495762712
56.1440678	40.5190678	3.336864407
55.34957627	41.63135593	3.019067797
54.71398305	42.37288136	2.913135593
54.34322034	42.42584746	3.230932203
55.61440678	41.31355932	3.072033898
57.62711864	39.51271186	2.860169492
57.20338983	39.24788136	3.548728814
58.79237288	38.50635593	2.701271186
55.93220339	40.25423729	3.813559322
56.83262712	40.09533898	3.072033898
57.52118644	38.93008475	3.548728814
56.09110169	41.10169492	2.80720339
57.57415254	39.45974576	2.966101695
57.46822034	38.82415254	3.707627119
55.56144068	40.625	3.813559322
53.28389831	42.74364407	3.972457627
56.56779661	40.36016949	3.072033898
55.82627119	40.04237288	4.131355932
56.09110169	40.14830508	3.76059322
56.25	41.15466102	2.595338983
55.50847458	40.625	3.866525424
55.45550847	41.47245763	3.072033898
